,PageTitle,SentenceID,QuestionID,Sentence,Question,Answer,JudgeId,Judgment
0,Berlin,ee72d17b-a2cd-4591-ae17-f1729ba799c9,292014f4-60ff-4b60-8f52-54b5a0dc6fe5,"In Dahlem , there are several museums of world art and culture, such as the Museum of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).","In Dahlem , there are several museums of world art and culture, such as _ _ _ _ _  of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).",the Museum,bbe344aa-c4da-4dc0-be09-6570704a7050,Bad
1,Berlin,ee72d17b-a2cd-4591-ae17-f1729ba799c9,292014f4-60ff-4b60-8f52-54b5a0dc6fe5,"In Dahlem , there are several museums of world art and culture, such as the Museum of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).","In Dahlem , there are several museums of world art and culture, such as _ _ _ _ _  of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).",the Museum,9f28f80c-81b4-49ff-8dcd-85d4ffcf8cf1,Good
2,Berlin,ee72d17b-a2cd-4591-ae17-f1729ba799c9,292014f4-60ff-4b60-8f52-54b5a0dc6fe5,"In Dahlem , there are several museums of world art and culture, such as the Museum of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).","In Dahlem , there are several museums of world art and culture, such as _ _ _ _ _  of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).",the Museum,2969d253-dd0d-4c41-96d9-c65f29f6f515,Bad
3,Berlin,ee72d17b-a2cd-4591-ae17-f1729ba799c9,292014f4-60ff-4b60-8f52-54b5a0dc6fe5,"In Dahlem , there are several museums of world art and culture, such as the Museum of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).","In Dahlem , there are several museums of world art and culture, such as _ _ _ _ _  of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).",the Museum,d9863dc1-b2c3-4d5c-be3d-5d72ebaa6b49,Okay
4,Indo-European languages,f6e186a9-649d-4e3d-a1f9-4d0ee02628be,d82f80c8-b298-45d7-86be-3493289a7cfa,"Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and Urdu , accounting for over 2.7 billion native speakers.","Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and _ _  , accounting for over 2.7 billion native speakers.",Urdu,ac02fc24-420d-46a6-8bbc-357c7531894f,Good
5,Indo-European languages,f6e186a9-649d-4e3d-a1f9-4d0ee02628be,d82f80c8-b298-45d7-86be-3493289a7cfa,"Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and Urdu , accounting for over 2.7 billion native speakers.","Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and _ _  , accounting for over 2.7 billion native speakers.",Urdu,cd1557bd-6857-4e61-bb8e-86ef9480bc2c,Good
6,Indo-European languages,f6e186a9-649d-4e3d-a1f9-4d0ee02628be,d82f80c8-b298-45d7-86be-3493289a7cfa,"Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and Urdu , accounting for over 2.7 billion native speakers.","Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and _ _  , accounting for over 2.7 billion native speakers.",Urdu,d9863dc1-b2c3-4d5c-be3d-5d72ebaa6b49,Good
7,Indo-European languages,f6e186a9-649d-4e3d-a1f9-4d0ee02628be,d82f80c8-b298-45d7-86be-3493289a7cfa,"Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and Urdu , accounting for over 2.7 billion native speakers.","Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and _ _  , accounting for over 2.7 billion native speakers.",Urdu,a5dc54e5-cf0a-4a66-a33b-2d4c10208be9,Okay
8,Rock music,6575a883-e7ee-44b2-8c90-3dc711a5b45b,b8f7c799-3ad9-4b55-98f6-d5f2f6382bc0,This change of direction was compared to punk and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,This change of direction was compared to _ _  and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,punk,2969d253-dd0d-4c41-96d9-c65f29f6f515,Bad
9,Rock music,6575a883-e7ee-44b2-8c90-3dc711a5b45b,b8f7c799-3ad9-4b55-98f6-d5f2f6382bc0,This change of direction was compared to punk and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,This change of direction was compared to _ _  and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,punk,db97fea4-7988-4cf9-b8a9-cad2af3fc174,Good
10,Rock music,6575a883-e7ee-44b2-8c90-3dc711a5b45b,b8f7c799-3ad9-4b55-98f6-d5f2f6382bc0,This change of direction was compared to punk and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,This change of direction was compared to _ _  and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,punk,a5dc54e5-cf0a-4a66-a33b-2d4c10208be9,Okay
11,Rock music,6575a883-e7ee-44b2-8c90-3dc711a5b45b,b8f7c799-3ad9-4b55-98f6-d5f2f6382bc0,This change of direction was compared to punk and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,This change of direction was compared to _ _  and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,punk,d9863dc1-b2c3-4d5c-be3d-5d72ebaa6b49,Good
12,Elvis Presley,d787ab16-623b-4627-8aac-74a9f6b7bf8d,a8df467d-19f2-4fbe-83e3-a049aab4e57e,The operative attitude may have been summed up best by the response Leiber and Stoller received when they brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,The operative attitude may have been summed up best by the response Leiber and Stoller received when _ _  brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,they,69c1a4cf-5e0b-45ba-b32e-87b6a08b458c,Bad
13,Elvis Presley,d787ab16-623b-4627-8aac-74a9f6b7bf8d,a8df467d-19f2-4fbe-83e3-a049aab4e57e,The operative attitude may have been summed up best by the response Leiber and Stoller received when they brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,The operative attitude may have been summed up best by the response Leiber and Stoller received when _ _  brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,they,d9863dc1-b2c3-4d5c-be3d-5d72ebaa6b49,Bad
14,Elvis Presley,d787ab16-623b-4627-8aac-74a9f6b7bf8d,a8df467d-19f2-4fbe-83e3-a049aab4e57e,The operative attitude may have been summed up best by the response Leiber and Stoller received when they brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,The operative attitude may have been summed up best by the response Leiber and Stoller received when _ _  brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,they,2969d253-dd0d-4c41-96d9-c65f29f6f515,Bad
15,Elvis Presley,d787ab16-623b-4627-8aac-74a9f6b7bf8d,a8df467d-19f2-4fbe-83e3-a049aab4e57e,The operative attitude may have been summed up best by the response Leiber and Stoller received when they brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,The operative attitude may have been summed up best by the response Leiber and Stoller received when _ _  brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,they,b1c6bfcb-0e06-4ec1-9e67-25d01781f3e0,Bad
16,Chernobyl disaster,2a550300-3348-4d2a-b1f4-a6d52c64e71e,65bb89ac-7ad1-4427-8a83-aa5665114139,"Because of the positive void coefficient of the RBMK reactor at low reactor power levels, it was now primed to embark on a positive feedback loop, in which the formation of steam voids reduced the ability of the liquid water coolant to absorb neutrons, which in turn increased the reactor's power output.","Because of the positive void coefficient of the RBMK reactor at low reactor power levels, _  was now primed to embark on a positive feedback loop, in which the formation of steam voids reduced the ability of the liquid water coolant to absorb neutrons, which in turn increased the reactor's power output.",it,3769bb0b-4615-4b8a-9477-94128685eafc,Bad
17,Chernobyl disaster,2a550300-3348-4d2a-b1f4-a6d52c64e71e,65bb89ac-7ad1-4427-8a83-aa5665114139,"Because of the positive void coefficient of the RBMK reactor at low reactor power levels, it was now primed to embark on a positive feedback loop, in which the formation of steam voids reduced the ability of the liquid water coolant to absorb neutrons, which in turn increased the reactor's power output.","Because of the positive void coefficient of the RBMK reactor at low reactor power levels, _  was now primed to embark on a positive feedback loop, in which the formation of steam voids reduced the ability of the liquid water coolant to absorb neutrons, which in turn increased the reactor's power output.",it,d84a7a62-3e7a-4e85-8903-0ce02f75bf95,Bad
