0,"[('In', 'IN'), ('Dahlem', 'NNP'), (',', ','), ('there', 'EX'), ('are', 'VBP'), ('several', 'JJ'), ('museums', 'NNS'), ('of', 'IN'), ('world', 'NN'), ('art', 'NN'), ('and', 'CC'), ('culture', 'NN'), (',', ','), ('such', 'JJ'), ('as', 'IN'), ('the', 'DT'), ('Museum', 'NNP'), ('of', 'IN'), ('Asian', 'NNP'), ('Art', 'NNP'), (',', ','), ('the', 'DT'), ('Ethnological', 'NNP'), ('Museum', 'NNP'), (',', ','), ('the', 'DT'), ('Museum', 'NNP'), ('of', 'IN'), ('European', 'JJ'), ('Cultures', 'NNP'), (',', ','), ('as', 'RB'), ('well', 'RB'), ('as', 'IN'), ('the', 'DT'), ('Allied', 'NNP'), ('Museum', 'NNP'), ('(', '('), ('a', 'DT'), ('museum', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Cold', 'NNP'), ('War', 'NNP'), (')', ')'), ('and', 'CC'), ('the', 'DT'), ('Brücke', 'NNP'), ('Museum', 'NNP'), ('(', '('), ('an', 'DT'), ('art', 'NN'), ('museum', 'NN'), (')', ')'), ('.', '.')]"
1,"[('In', 'IN'), ('Dahlem', 'NNP'), (',', ','), ('there', 'EX'), ('are', 'VBP'), ('several', 'JJ'), ('museums', 'NNS'), ('of', 'IN'), ('world', 'NN'), ('art', 'NN'), ('and', 'CC'), ('culture', 'NN'), (',', ','), ('such', 'JJ'), ('as', 'IN'), ('the', 'DT'), ('Museum', 'NNP'), ('of', 'IN'), ('Asian', 'NNP'), ('Art', 'NNP'), (',', ','), ('the', 'DT'), ('Ethnological', 'NNP'), ('Museum', 'NNP'), (',', ','), ('the', 'DT'), ('Museum', 'NNP'), ('of', 'IN'), ('European', 'JJ'), ('Cultures', 'NNP'), (',', ','), ('as', 'RB'), ('well', 'RB'), ('as', 'IN'), ('the', 'DT'), ('Allied', 'NNP'), ('Museum', 'NNP'), ('(', '('), ('a', 'DT'), ('museum', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Cold', 'NNP'), ('War', 'NNP'), (')', ')'), ('and', 'CC'), ('the', 'DT'), ('Brücke', 'NNP'), ('Museum', 'NNP'), ('(', '('), ('an', 'DT'), ('art', 'NN'), ('museum', 'NN'), (')', ')'), ('.', '.')]"
2,"[('In', 'IN'), ('Dahlem', 'NNP'), (',', ','), ('there', 'EX'), ('are', 'VBP'), ('several', 'JJ'), ('museums', 'NNS'), ('of', 'IN'), ('world', 'NN'), ('art', 'NN'), ('and', 'CC'), ('culture', 'NN'), (',', ','), ('such', 'JJ'), ('as', 'IN'), ('the', 'DT'), ('Museum', 'NNP'), ('of', 'IN'), ('Asian', 'NNP'), ('Art', 'NNP'), (',', ','), ('the', 'DT'), ('Ethnological', 'NNP'), ('Museum', 'NNP'), (',', ','), ('the', 'DT'), ('Museum', 'NNP'), ('of', 'IN'), ('European', 'JJ'), ('Cultures', 'NNP'), (',', ','), ('as', 'RB'), ('well', 'RB'), ('as', 'IN'), ('the', 'DT'), ('Allied', 'NNP'), ('Museum', 'NNP'), ('(', '('), ('a', 'DT'), ('museum', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Cold', 'NNP'), ('War', 'NNP'), (')', ')'), ('and', 'CC'), ('the', 'DT'), ('Brücke', 'NNP'), ('Museum', 'NNP'), ('(', '('), ('an', 'DT'), ('art', 'NN'), ('museum', 'NN'), (')', ')'), ('.', '.')]"
3,"[('In', 'IN'), ('Dahlem', 'NNP'), (',', ','), ('there', 'EX'), ('are', 'VBP'), ('several', 'JJ'), ('museums', 'NNS'), ('of', 'IN'), ('world', 'NN'), ('art', 'NN'), ('and', 'CC'), ('culture', 'NN'), (',', ','), ('such', 'JJ'), ('as', 'IN'), ('the', 'DT'), ('Museum', 'NNP'), ('of', 'IN'), ('Asian', 'NNP'), ('Art', 'NNP'), (',', ','), ('the', 'DT'), ('Ethnological', 'NNP'), ('Museum', 'NNP'), (',', ','), ('the', 'DT'), ('Museum', 'NNP'), ('of', 'IN'), ('European', 'JJ'), ('Cultures', 'NNP'), (',', ','), ('as', 'RB'), ('well', 'RB'), ('as', 'IN'), ('the', 'DT'), ('Allied', 'NNP'), ('Museum', 'NNP'), ('(', '('), ('a', 'DT'), ('museum', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Cold', 'NNP'), ('War', 'NNP'), (')', ')'), ('and', 'CC'), ('the', 'DT'), ('Brücke', 'NNP'), ('Museum', 'NNP'), ('(', '('), ('an', 'DT'), ('art', 'NN'), ('museum', 'NN'), (')', ')'), ('.', '.')]"
4,"[('Of', 'IN'), ('the', 'DT'), ('twenty', 'NN'), ('languages', 'VBZ'), ('with', 'IN'), ('the', 'DT'), ('largest', 'JJS'), ('numbers', 'NNS'), ('of', 'IN'), ('native', 'JJ'), ('speakers', 'NNS'), ('according', 'VBG'), ('to', 'TO'), ('SIL', 'NNP'), ('Ethnologue', 'NNP'), (',', ','), ('twelve', 'EX'), ('are', 'VBP'), ('Indo-European', 'JJ'), (':', ':'), ('Spanish', 'JJ'), (',', ','), ('English', 'NNP'), (',', ','), ('Hindi', 'NNP'), (',', ','), ('Portuguese', 'NNP'), (',', ','), ('Bengali', 'NNP'), (',', ','), ('Russian', 'NNP'), (',', ','), ('German', 'NNP'), (',', ','), ('Marathi', 'NNP'), (',', ','), ('French', 'NNP'), (',', ','), ('Italian', 'NNP'), (',', ','), ('Punjabi', 'NNP'), (',', ','), ('and', 'CC'), ('Urdu', 'NNP'), (',', ','), ('accounting', 'NN'), ('for', 'IN'), ('over', 'IN'), ('2.7', 'CD'), ('billion', 'CD'), ('native', 'JJ'), ('speakers', 'NNS'), ('.', '.')]"
5,"[('Of', 'IN'), ('the', 'DT'), ('twenty', 'NN'), ('languages', 'VBZ'), ('with', 'IN'), ('the', 'DT'), ('largest', 'JJS'), ('numbers', 'NNS'), ('of', 'IN'), ('native', 'JJ'), ('speakers', 'NNS'), ('according', 'VBG'), ('to', 'TO'), ('SIL', 'NNP'), ('Ethnologue', 'NNP'), (',', ','), ('twelve', 'EX'), ('are', 'VBP'), ('Indo-European', 'JJ'), (':', ':'), ('Spanish', 'JJ'), (',', ','), ('English', 'NNP'), (',', ','), ('Hindi', 'NNP'), (',', ','), ('Portuguese', 'NNP'), (',', ','), ('Bengali', 'NNP'), (',', ','), ('Russian', 'NNP'), (',', ','), ('German', 'NNP'), (',', ','), ('Marathi', 'NNP'), (',', ','), ('French', 'NNP'), (',', ','), ('Italian', 'NNP'), (',', ','), ('Punjabi', 'NNP'), (',', ','), ('and', 'CC'), ('Urdu', 'NNP'), (',', ','), ('accounting', 'NN'), ('for', 'IN'), ('over', 'IN'), ('2.7', 'CD'), ('billion', 'CD'), ('native', 'JJ'), ('speakers', 'NNS'), ('.', '.')]"
6,"[('Of', 'IN'), ('the', 'DT'), ('twenty', 'NN'), ('languages', 'VBZ'), ('with', 'IN'), ('the', 'DT'), ('largest', 'JJS'), ('numbers', 'NNS'), ('of', 'IN'), ('native', 'JJ'), ('speakers', 'NNS'), ('according', 'VBG'), ('to', 'TO'), ('SIL', 'NNP'), ('Ethnologue', 'NNP'), (',', ','), ('twelve', 'EX'), ('are', 'VBP'), ('Indo-European', 'JJ'), (':', ':'), ('Spanish', 'JJ'), (',', ','), ('English', 'NNP'), (',', ','), ('Hindi', 'NNP'), (',', ','), ('Portuguese', 'NNP'), (',', ','), ('Bengali', 'NNP'), (',', ','), ('Russian', 'NNP'), (',', ','), ('German', 'NNP'), (',', ','), ('Marathi', 'NNP'), (',', ','), ('French', 'NNP'), (',', ','), ('Italian', 'NNP'), (',', ','), ('Punjabi', 'NNP'), (',', ','), ('and', 'CC'), ('Urdu', 'NNP'), (',', ','), ('accounting', 'NN'), ('for', 'IN'), ('over', 'IN'), ('2.7', 'CD'), ('billion', 'CD'), ('native', 'JJ'), ('speakers', 'NNS'), ('.', '.')]"
7,"[('Of', 'IN'), ('the', 'DT'), ('twenty', 'NN'), ('languages', 'VBZ'), ('with', 'IN'), ('the', 'DT'), ('largest', 'JJS'), ('numbers', 'NNS'), ('of', 'IN'), ('native', 'JJ'), ('speakers', 'NNS'), ('according', 'VBG'), ('to', 'TO'), ('SIL', 'NNP'), ('Ethnologue', 'NNP'), (',', ','), ('twelve', 'EX'), ('are', 'VBP'), ('Indo-European', 'JJ'), (':', ':'), ('Spanish', 'JJ'), (',', ','), ('English', 'NNP'), (',', ','), ('Hindi', 'NNP'), (',', ','), ('Portuguese', 'NNP'), (',', ','), ('Bengali', 'NNP'), (',', ','), ('Russian', 'NNP'), (',', ','), ('German', 'NNP'), (',', ','), ('Marathi', 'NNP'), (',', ','), ('French', 'NNP'), (',', ','), ('Italian', 'NNP'), (',', ','), ('Punjabi', 'NNP'), (',', ','), ('and', 'CC'), ('Urdu', 'NNP'), (',', ','), ('accounting', 'NN'), ('for', 'IN'), ('over', 'IN'), ('2.7', 'CD'), ('billion', 'CD'), ('native', 'JJ'), ('speakers', 'NNS'), ('.', '.')]"
8,"[('This', 'DT'), ('change', 'NN'), ('of', 'IN'), ('direction', 'NN'), ('was', 'VBD'), ('compared', 'VBN'), ('to', 'TO'), ('punk', 'VB'), ('and', 'CC'), ('in', 'IN'), ('the', 'DT'), ('late', 'JJ'), ('1970s', 'NNS'), ('became', 'VBD'), ('known', 'VBN'), ('as', 'IN'), ('the', 'DT'), ('New', 'NNP'), ('Wave', 'NNP'), ('of', 'IN'), ('British', 'NNP'), ('Heavy', 'NNP'), ('Metal', 'NNP'), ('(', '('), ('NWOBHM', 'NNP'), (')', ')'), ('.', '.')]"
9,"[('This', 'DT'), ('change', 'NN'), ('of', 'IN'), ('direction', 'NN'), ('was', 'VBD'), ('compared', 'VBN'), ('to', 'TO'), ('punk', 'VB'), ('and', 'CC'), ('in', 'IN'), ('the', 'DT'), ('late', 'JJ'), ('1970s', 'NNS'), ('became', 'VBD'), ('known', 'VBN'), ('as', 'IN'), ('the', 'DT'), ('New', 'NNP'), ('Wave', 'NNP'), ('of', 'IN'), ('British', 'NNP'), ('Heavy', 'NNP'), ('Metal', 'NNP'), ('(', '('), ('NWOBHM', 'NNP'), (')', ')'), ('.', '.')]"
